title,origin,is_question,has_keyword,has_number,avg_word_length,count_words,label
„Outlander“-Star Sam Heughan: Für diese Heldentat hagelte es Lob ,movie,0,1,0,6,9,0
Wikimedia Deutschland sucht einen Geschäftsführer,wiki,0,0,0,9,5,1
Promi-Hochzeiten 2015: Diese Stars haben „Ja“ gesagt!,promi,0,1,0,6,6,0
Victoria Beckham und Co: Diese Stars haben deutsche Wurzeln ,webde,0,1,0,5,9,0
"Gerda Lewis: Was läuft wirklich zwischen der ""Bachelorette"" und Ex-Kandidat Tim? ",webde,1,0,0,5,11,0
"Kendall Jenner, Paris Jackson & Co.: Diese Stars zeigen ihre Nippelpiercings",promi,0,1,0,6,10,0
Pietro Lombardi & Laura Maria ein Paar? Anzeichen verdichten sich,promi,1,0,0,6,9,0
Kim Kardashian und Kanye West: Das bedeutet der Name von Baby Nr. 4 ,webde,0,0,1,4,12,0
„Riverdale“-Star Lili Reinhart („Betty Cooper“): Ist sie „Black Hood“?,bravo,1,0,0,6,9,0
USA: Obama für Einmalzahlung von 250 Dollar für jeden Rentner,wiki,0,0,0,5,9,1
Tränenausbruch bei den Geissens: Ist ihr Haus ruiniert?,promi,1,0,0,5,8,0
Internet-Nutzer können Wahlprogramme mitgestalten,wiki,0,0,0,11,4,1
NPD-Landtagsfraktion in Sachsen zerfällt,wiki,0,0,0,9,4,1
Helene Fischer mit singenden Polizisten auf der Bühne? ,webde,1,0,0,5,8,0
Ex-NPD-Bundesschatzmeister Erwin Kemna verurteilt,wiki,0,0,0,11,4,1
Johan Micoud trennt sich von Werder Bremen,wiki,0,0,0,5,7,1
Bert Wollersheim: Sie soll seine Neue sein ,promi,0,1,0,5,7,0
Kreuzfahrtschiff „Fram“ rammt Eisberg in der Antarktis,wiki,0,0,0,6,7,1
Jemen: Tränengas und scharfe Munition gegen Demonstranten,wiki,0,0,0,7,7,1
England im Halbfinale: Darum dürfen Prinz William und Prinz Harry nicht nach Russland reisen ,promi,0,1,0,5,14,0
Gerda Lewis lässt sich Brustimplantate entfernen: So geht es ihr,promi,0,1,0,5,10,0
Diese wärmende Pilzcremesuppe ist kinderleicht zu machen,tasty,0,1,0,7,7,0
Deutscher Jugendliteraturpreis verliehen - Kirsten Boie für das Lebenswerk geehrt,wiki,0,0,0,7,9,1
Was wurde aus Sängerin Dido? ,promi,1,0,0,4,5,0
"BTN-Laura Wölki: „Ich könnte mir nicht vorstellen, jemanden so zu belügen“ ",promi,0,1,0,5,11,0
„Die Bachelorette“-Folge 3: Es darf geküsst werden,promi,0,0,1,6,6,0
„Grey's Anatomy“ Quiz,promi,0,1,0,6,3,0
Sarah Lombardi schwanger auf dem „Traumschiff“? Jetzt spricht der Sender ,promi,1,0,0,6,10,0
Hatte Herzogin Kate eine Nasen-OP?,promi,1,0,0,5,5,0
Daniel Hartwich: So krass hat der Moderator abgenommen,promi,0,1,0,5,8,0
Kongolesische Flüchtlinge im Sudan,wiki,0,0,0,7,4,1
Übergriffe durch Sicherheitspersonal in Bremer Einkaufszentrum,wiki,0,0,0,9,6,1
Thomas Gottschalks neue Freundin: Durch einen Trick hat er sie kennengelernt ,promi,0,1,0,5,11,0
Diese Stars sind unter die Politiker gegangen,promi,0,1,0,5,7,0
Sabia Boulahrouz: So sexy feierte sie ihren Geburtstag,promi,0,1,0,5,8,0
Postbank-Tochter übernimmt Watergate-Hotel,wiki,0,0,0,12,3,1
„Bergdoktor“-Dreh in Coronakrise möglich? Ronja Forcher gibt Update,promi,1,0,0,7,8,0
Game Of Thrones: Diese Schauspieler kommen wieder! ,movie,0,1,0,6,7,0
„Remington Steele“: So geht es Stephanie Zimbalist heute,promi,0,1,0,6,8,0
"Cathy Hummels postet Bild mit Mats auf Instagram, doch alle interessieren sich für jemand anderen",promi,0,1,0,5,15,0
Airbus stellt neuen Termin für Erstflug des A380 in Aussicht,wiki,0,0,0,5,9,1
Ex-Monrose Bahar: So sehr hat sie sich verändert,promi,0,1,0,4,8,0
Landkreis Mühldorf: Kinderpornos festgestellt,wiki,0,0,0,10,4,1
Diebstahl und schwere Sachbeschädigung bei der FeM in Ilmenau,wiki,0,0,0,5,9,1
Heidi Klum klärt auf: Darum heißen ihre Brüste Hans und Franz,promi,0,1,0,4,11,0
Entwarnung auf den Kanaren: Waldbrände endlich unter Kontrolle,wiki,0,0,0,6,8,1
"Christine Neubauer: Nach Schock-Diagnose ""Dance Dance Dance""-Aus? ",movie,1,0,0,7,7,0
Diese Liebesszenen in Serien waren wirklich unangenehm,promi,0,1,0,6,7,0
Horst Köhler strebt zweite Amtszeit als Bundespräsident an,wiki,0,0,0,6,8,1
Baden-Württemberg fordert europaweiten Atomausstieg,wiki,0,0,0,11,4,1
Berlin: Totes Baby nahe Müggelsee gefunden,wiki,0,0,0,6,6,1
Bad Aibling: Richtfest für erstes Holz-Hochhaus Deutschlands,wiki,0,0,0,7,7,1
Rückgang der verkauften Autos in Großbritannien,wiki,0,0,0,7,6,1
"„Phantastische Tierwesen 2“: J.K. Rowling verrät spannende
",movie,0,0,1,6,7,0
Boris Becker: Ist er wieder vergeben? ,webde,1,0,0,5,6,0
Catania: Flughafen bleibt wegen Ätna-Ausbruch geschlossen,wiki,0,0,0,8,6,1
West Virginia: Dreizehn Bergleute bei Explosion eingeschlossen,wiki,0,0,0,7,7,1
"„Wer wird Millionär“-Promispecial: Diese Promis kämpfen um die
",movie,0,1,0,6,8,0
Bundesparteitag der Grünen: Vorsitzendentandem wiedergewählt,wiki,0,0,0,11,5,1
Basteln mit Kastanien: 10 lustige Spiele und Figuren,heftig,0,0,1,6,7,0
Dieter Bohlen und seine Carina: So privat hat man den Poptitan noch nie gesehen ,promi,0,1,0,4,14,0
AKP gewinnt Parlamentswahlen in der Türkei,wiki,0,0,0,6,6,1
Nicolas Paul Gustaf: So heißt der Sohn von Prinzessin Madeleine,promi,0,1,0,5,10,0
"„Let's Dance“ 2019: Das müsst ihr über die Kandidaten wissen, Teil 1",promi,0,0,1,4,10,0
Witzig: Diese Stars haben dieselben Synchronsprecher,promi,0,1,0,7,6,0
Auf diese Events bei den britischen Royals können wir uns 2018 freuen,promi,0,1,0,4,11,0
Göttingen: Wegen Kindesmissbrauchs zehn Jahre Haft für Patenonkel,wiki,0,0,0,7,8,1
Kultusminister wollen Hauptschüler von PISA-Studie ausschließen,wiki,0,0,0,9,6,1
Freiburg entscheidet sich gegen OpenOffice,wiki,0,0,0,7,5,1
"11 Dinge, die du dir lieber abgewöhnen solltest",heftig,0,1,0,5,7,0
Regensburg: Lebensmüder schießt auf Polizeibeamte,wiki,0,0,0,8,5,1
„Riverdale“-Spin-Off „Katy Keene“ jetzt schon ein Flop?,bravo,1,0,0,6,7,0
XXL-Mega-Lippen: Heimliche Beauty-OP bei Lena Meyer-Landrut? ,webde,1,0,0,8,6,0
DSDS: Ist Alexander Jahnke schwul? ,movie,1,0,0,5,5,0
Alexander Jahnkes Haare: So anders sieht er mit einer Gel-Frisur aus,promi,0,1,0,5,11,0
Diese Promis fordern die Öffnung der Homo-Ehe von Angela Merkel,promi,0,1,0,5,10,0
Space Shuttle Discovery zur Mission STS-124 gestartet,wiki,0,0,0,6,6,1
Bitte was? So anders sieht Rebel Wilson mittlerweile aus,promi,1,1,0,5,9,0
Spionageaffäre bei Renault: Verdächtigt wird „ein chinesischer Hintermann“,wiki,0,0,0,8,8,1
"Explosionen beim Boston-Marathon: Drei Tote, über hundert Verletzte",wiki,0,0,0,7,8,1
Formel 1: Die Toyota-Ferrari-Spionageaffäre,wiki,0,0,1,12,3,1
Indisch-Pakistanisches Außenministertreffen abgesagt,wiki,0,0,0,16,3,1
Westerwelles Auslandsreisen: Parteispender als Delegationsmitglieder,wiki,0,0,0,12,5,1
Big Brother Awards Austria 2008: Die Gewinner stehen fest,wiki,0,0,0,5,8,1
So schnell machten Clea und Riccardo ernst ,webde,0,1,0,5,7,0
Diskussion um Herkunftsnennung - CSU Generalsekretär fordert Änderung des Pressekodex,wiki,0,0,0,8,9,1
5 krasse Fakten über YouTube-Star Bibi Claßen,promi,0,0,1,6,6,0
Cara Delevingne: Freund oder Freundin? Das sagt sie zu ihrer Sexualität,promi,1,0,0,5,11,0
Angelina Heger Instagram: So sexy zeigt sie sich auf dem sozialen Netzwerk,promi,0,1,0,5,12,0
Die Geissens: So würde Davina am liebsten heißen,promi,0,1,0,5,8,0
Deutscher Filmpreis: Elf Jahre alte Schauspielerin übertrumpft alle ,movie,0,1,0,7,8,0
Wer wird die neue „Bachelorette“ 2018?,promi,1,1,0,5,5,0
Wintereinbruch im östlichen Mittelmeer und im Nahen Osten,wiki,0,0,0,6,8,1
UN-Hubschrauber im Südsudan abgestürzt,wiki,0,0,0,8,4,1
„New Girl“: So haben sich die Darsteller über die Jahre verändert,promi,0,1,0,4,11,0
Kachelmann-Prozess am 3. Februar von Unruhe geprägt,wiki,0,0,1,7,6,1
Edmund Stoiber wird kein Regierungsmitglied,wiki,0,0,0,7,5,1
Neuer Milliarden-Auftrag für Airbus,wiki,0,0,0,7,4,1
Prinz Harry und Meghan Markle: Folgt auf die Hochzeit ein Baby?,promi,1,0,0,4,11,0
Die Erde dreht sich schneller als erwartet: Keine Schaltsekunde am Jahresende 2010,wiki,0,0,0,6,11,1
Cathy Lugner: Mit diesen Fotos in den US-Playboy? ,webde,1,0,0,4,8,0
Prinzessin Charlottes Geburtstag: Darum gab es keine Bilder,promi,0,1,0,6,8,0
Let’s Dance: Darum kürzt RTL die Sendezeit! ,movie,0,1,0,5,7,0
„Bares für Rares“: So viel gab es für Judith Williams' Klopapierhalter ,promi,0,1,0,5,11,0
Landtagsabgeordneter aus Sachsen-Anhalt steht unter Kinderpornoverdacht,wiki,0,0,0,10,6,1
Saudi-Arabien: 30 Peitschenhiebe wegen „unerlaubten Herumlaufens inmitten von Frauen“,wiki,0,0,0,9,8,1
Kinderarmut in Deutschland – ausgeschlossen?,wiki,1,0,0,7,5,1
„Unsere kleine Farm“: So geht es Karen Grassle alias „Caroline Ingalls“ heute,promi,0,1,0,5,12,0
Rupert Stadler wird Nachfolger von Martin Winterkorn bei Audi,wiki,0,0,0,5,9,1
Weihnachten 2020: Das sind die besten Netflix-Filme zum Einstimmen,promi,0,1,0,6,8,0
"""Astral Chain"" im Test: Platinum beschreitet neue Wege auf Switch! ",movie,0,1,0,5,10,0
Sarah Nowak: So hübsch sieht ihre Schwester aus,promi,0,1,0,4,8,0
Mafiamorde von Duisburg: Italienisches Gericht spricht lebenslange Haftstrafe aus,wiki,0,0,0,8,9,1
Bastian Schweinsteiger und Ana Ivanovic beim Bambi: So schön strahlt eine große Liebe! ,webde,0,1,0,5,13,0
So sehen die „The Big Bang Theory”-Stars im echten Leben aus,promi,0,1,0,4,11,0
Erfolgreicher Vorbeiflug der Saturnsonde „Cassini“ am Mond Enceladus,wiki,0,0,0,7,8,1
"""Phantastische Tierwesen 3"": Ersatz für Johnny Depp gefunden",bravo,0,0,1,7,7,0
Opel-Sprecher dementiert: Keine „Wartburg“-Automobile aus Eisenach,wiki,0,0,0,9,6,1
„Willkommen bei Carmen Nebel“: Diese Gäste kommen zur Show ,promi,0,1,0,5,9,0
Paris: Deutscher Arzt zu 15 Jahren Freiheitsstrafe verurteilt,wiki,0,0,0,7,7,1
Was läuft da? Janin Ullmann und Neymar zusammen im Stadion gesichtet,promi,1,0,0,5,11,0
Playmobilaktion des THW Paderborn,wiki,0,0,0,7,4,1
Erkennen Sie den Star im Jennifer Lopez-Look? ,webde,1,0,0,5,7,0
Petition für Grundeinkommen mit großem Echo,wiki,0,0,0,6,6,1
"Apple fährt Rekordgewinn ein: 3,4 Milliarden US-Dollar im letzten Quartal",wiki,0,0,1,6,9,1
Chirac: Türkei soll Völkermord an den Armeniern anerkennen,wiki,0,0,0,6,8,1
Eishockey: Krefeld Pinguine verpflichten Duncan Milroy,wiki,0,0,0,8,6,1
Irre PS4 Statistik: So wenig Spiele zockt der normale Gamer! ,movie,0,1,0,5,9,0
Börsenbarometer DAX auf höchstem Stand seit Bestehen,wiki,0,0,0,6,7,1
Welche Universität braucht die Wissensgesellschaft? – Diskussion in Tübingen,wiki,1,0,0,7,9,1
Umweltschutz: Können wir die Klimakatastrophe stoppen?,bravo,1,0,0,7,6,0
NFL | ProSieben holt mehr Football-Spiele ins Free-TV ,movie,0,1,0,6,7,0
Jakarta möchte keine weiteren Untersuchungen im Fall der „Balibo Five“ zulassen,wiki,0,0,0,6,11,1
Costa Rica: Der neue Präsident heißt Óscar Arias Sánchez,wiki,0,1,0,5,9,1
Präsident Abbas verbot den militärischen Arm der Hamas,wiki,0,0,0,5,8,1
DSDS-Juroren: Diese Promis saßen bereits neben Dieter Bohlen,promi,0,1,0,6,8,0
"„The Walking Dead“: Tekken 7 schickt Negan & Lucille in den Ring |
",movie,0,0,1,5,10,0
Ab wann gibt man sich Kosenamen?,bravo,1,0,0,4,6,0
Diese Jobs haben die britischen Royals eigentlich erlernt,promi,0,1,0,6,8,0
Terrorgefahr: Reichstagskuppel für Besucher gesperrt,wiki,0,0,0,9,5,1
Mehr als 30 Tote bei Amoklauf an Hochschule im US-Bundesstaat Virginia,wiki,0,1,0,5,10,1
Kanye West: So gratuliert er Kim Kardashian zum Geburtstag ,webde,0,1,0,5,9,0
Amazon Prime Video: Auf diese Funktion haben alle gewartet ,bravo,0,1,0,5,9,0
"Erkannt? 10 Stars, die in Filmen nicht mehr wiederzuerkennen sind",promi,1,1,1,5,9,0
Zweitägiges Altstadtfest in Bremen,wiki,0,0,0,7,4,1
Claudia Norberg: Wird sie noch einmal heiraten? ,webde,1,0,0,5,7,0
Lena Meyer-Landrut zu mager? Fans machen sich Sorgen ,webde,1,0,0,5,8,0
Das Jahr 2007 beginnt in Mitteleuropa mit Rekordwärme,wiki,0,0,0,6,7,1
Brooklyn Beckham: Ist der Hottie schon längst verlobt?,bravo,1,0,0,5,8,0
"10 Promi-Paare, die mal zusammen waren",bravo,0,0,1,5,5,0
Leonardo DiCaprio und Bella Hadid: werden sie das nächste Traumpaar? ,webde,1,0,0,5,10,0
Tornados in USA: Zahl der Todesopfer auf über 300 gestiegen,wiki,0,0,0,5,9,1
Best Friends: Diese Stars kennen sich schon aus Kindheitstagen ,promi,0,1,0,5,9,0
BMW plant Streichung mehrerer tausend Stellen in Deutschland,wiki,0,0,0,6,8,1
Oldenburg: Riesenbetrug mit Bio-Eiern,wiki,0,0,0,8,4,1
Julianne Moore: So extrem attraktiv sind ihr Mann und ihre Kinder,promi,0,1,0,4,11,0
Heftige Schneefälle in Bulgarien und Griechenland im März,wiki,0,0,0,6,8,1
"Preise in den USA im Februar 2007 um 0,4 Prozent gestiegen",wiki,0,0,1,4,9,1
"""Sekiro: Shadows Die Twice"" im Test: So gut ist das Spiel wirklich |
",movie,0,1,0,4,12,0
Sorge um Capital Bra: Darum sagt er sein Konzert ab,bravo,0,1,0,4,10,0
Weißrussland: Europäische Union und USA boykottieren Amtseinführung Lukaschenkos,wiki,0,0,0,9,8,1
Gewusst? Dieser deutsche Schauspieler ist in „Parasite“ zu sehen,promi,1,0,0,6,9,0
Alvaro Soler und Freundin Sofia: Bald auch beruflich ein Team?,promi,1,0,0,5,10,0
Pietro & Sarah Lombardi: So feierten sie den 2. Geburtstag von Alessio!,promi,0,1,1,5,10,0
Fukushima: Erhöhte Strahlung im Meerwasser,wiki,0,0,0,7,5,1
Rihanna: Was geht mit Olympia-Star Miles Chamley-Watson? ,webde,1,0,0,6,7,0
„Riverdale”: Noch eine Trennung?,bravo,1,0,0,6,4,0
Encyclopaedia Britannica will gegen die Zeitschrift „Nature“ vorgehen,wiki,0,0,0,7,8,1
Pakistan: Mehr als 100 Tote bei Flugzeugabsturz,wiki,0,1,0,6,6,1
Haiti vor schwierigem Neubeginn,wiki,0,0,0,7,4,1
"Sonic the Hedgehog-Regisseur enthüllt: So ist der private Jim Carrey
",movie,0,1,0,5,10,0
Japanischer Publizist leugnet Kriegsverbrechen,wiki,0,0,0,10,4,1
Die besten Looks der MTV TV & Movie Awards 2018 ,promi,0,1,0,4,8,0
Japans Rückzug aus dem Irak steht nun fest,wiki,0,0,0,4,8,1
Über 100 Menschen starben durch schwere Monsunregen in Indien,wiki,0,0,0,6,8,1
Schwerer Verkehrsunfall in Neuss,wiki,0,0,0,7,4,1
Wie die Mutter so die Tochter: Tritt Leni in die Fußstapfen von Heidi? ,webde,1,1,0,4,13,0
Jurastudent greift BGH-Richter während einer Vortragsveranstaltung an,wiki,0,0,0,8,7,1
Brückenbauarbeiten an der A 6 erfolgreich begonnen,wiki,0,0,1,7,6,1
Fußballprofi Castro entschied sich für Deutschland,wiki,0,0,0,7,6,1
"Darum sind BTS erfolgreicher als Ariana Grande, Billie Eilish und Shawn Mendes",bravo,0,1,0,5,12,0
Diese Schauspieler waren bereits in der Rolle des „Joker“ zu sehen,promi,0,1,0,5,11,0
Wechsel von Benjamin Lauth zum VfB Stuttgart möglich,wiki,0,0,0,5,8,1
Krasse Wandlung: So sieht „Harry Potters“ dicker Cousin „Dudley“ heute aus,promi,0,1,0,5,11,0
"Sylvie Meis: Erst die Hochzeit, dann ein Baby? ",webde,1,0,0,4,8,0
Diese 7 Comic-Verfilmungen brachten am meisten ein,promi,0,1,1,7,6,0
Flugzeug stürzt vor der libanesischen Küste ins Meer,wiki,0,0,0,5,8,1
"„The Big Bang Theory”: Ist „Bernadette"" auch im echten Leben schwanger?",promi,1,0,0,5,11,0
Diese 11 Mascara-Momente kennt echt jedes Mädchen und es nervt!,bravo,0,1,0,5,9,0
„Der Hobbit“: Das wurde aus den Darstellern - Teil 1,promi,0,0,1,5,8,0
"""Let's Dance""-Star Motsi Mabuse - 1. Auftritt in neuer Jury ändert
",movie,0,0,1,5,9,0
BTS brechen alle Rekorde!,bravo,0,1,0,5,4,0
Jens Nowotny für Fußball-WM nachnominiert,wiki,0,0,0,7,5,1
Deutscher Bundeskanzler mahnt Verantwortung der Medien an,wiki,0,0,0,7,7,1
Nach Amoklauf von Winnenden: Intellektuelle rufen Aktion „Keine Mordwaffen als Sportwaffen!“ ins Leben,wiki,0,0,0,6,13,1
5 Fragen an Ex-„Bachelor“-Andrej Mangold,promi,0,0,1,8,4,0
Millionen-Deal: Diese Plattform wird Teil von Instagram,bravo,0,1,0,6,7,0
Verleihung der deutschen BigBrotherAwards 2005,wiki,0,0,0,9,4,1
Internetnutzer sollen Mars-Forscher werden,wiki,0,0,0,9,4,1
So kannst du Instagram Storys heimlich anschauen,bravo,0,1,0,6,7,0
Im Kongo kommt es nach Bekanntgabe des Wahlergebnisses zu Kämpfen,wiki,0,0,0,5,10,1
Überfallenes Kreuzfahrtschiff nahm Kurs auf die Seychellen,wiki,0,0,0,7,7,1
Not in Timor-Leste nimmt durch Unwetter weiter zu,wiki,0,0,0,5,8,1
US-Präsident Bush legt Veto gegen Anti-Folter-Gesetz ein,wiki,0,0,0,6,7,1
UEFA-Pokal: FC Basel spielt unentschieden gegen LOSC Lille,wiki,0,0,0,6,8,1
Insasse von Mithäftlingen in der Jugendhaftanstalt Siegburg zu Tode gequält,wiki,0,0,0,6,10,1
Tourenwagen-Weltmeisterschaft 2008: Rickard Rydell und Tiago Monteiro gewinnen in Estoril,wiki,0,0,0,8,9,1
Bundeswehr-Tornados heute offiziell dem ISAF-Kommando unterstellt,wiki,0,0,0,9,6,1
Lukoil stoppt Öllieferungen nach Deutschland,wiki,0,0,0,8,5,1
FIA beschließt Rennkalender der Formel-1-Saison 2011,wiki,0,0,1,7,4,1
Gewusst? Wegen dieser Frau zerbrach Donald Trumps erste Ehe,promi,1,0,0,5,9,0
Offiziell: Montoya pausiert - de la Rosa Ersatzmann,wiki,0,0,0,6,7,1
"Hannover, Heidelberg und Mannheim sind jetzt „UNESCO Creative Cities“",wiki,0,0,0,6,9,1
Thomas Gottschalk hört auf: „Die Gesundheit fordert mehr Ruhe“,promi,0,1,0,5,9,0
Brüssel: EU-Außenminister einigen sich auf harte Sanktionen gegen den Iran,wiki,0,0,0,6,10,1
„Real-Life-Ken“-Rodrigo Alves: Erschreckend! So künstlich sieht auch sein Body aus!,promi,0,1,0,6,10,0
Alexander Klaws: So sehr hat er sich über die Jahre verändert,promi,0,1,0,4,11,0
„7 Töchter“: Um sie geht es heute,promi,0,0,1,3,7,0
Ukraine: Berufungsgericht bestätigt hohe Haftstrafe für Timoschenko,wiki,0,0,0,8,7,1
Israel vor einer Bodenoffensive in den Libanon?,wiki,1,0,0,5,7,1
Niedersachsen: „Gammelfleisch“ aus Bayern nicht in den Verkauf gelangt,wiki,0,0,0,6,9,1
Darum gibt Herzogin Kate keine Autogramme,promi,0,1,0,6,6,0
Antibiotikaresistenzen nehmen dramatisch zu,wiki,0,0,0,10,4,1
OMG! So groß ist der Altersunterschied dieser Paare,bravo,0,1,0,5,8,0
Kendall Jenner: Darum ist sie anders als ihre Schwestern ,webde,0,1,0,5,9,0
Robbie Williams: Darum lag er 7 Tage auf der Intensivstation ,webde,0,1,1,5,9,0
Kaiserslautern: Zwei Männer krankenhausreif geschlagen,wiki,0,0,0,9,5,1
Prinzessin Charlotte: Darum trägt die Tochter von Herzogin Kate keine Hosen ,promi,0,1,0,5,11,0
Europaweite Protestaktionen gegen ACTA,wiki,0,0,0,8,4,1
Prinz William und Prinz Harry offen wie nie: So haben sie vom Tod von Diana erfahren,promi,0,1,0,4,16,0
"Bachelorette: Wer ist raus - 2 Kandidaten lehnen Jessicas Rose
",movie,0,0,1,6,8,0
Diese Promis ziehen 2019 ins Sommerhaus der Stars ,webde,0,1,0,5,7,0
PlayStation 5: Sony enthüllt das Design der PS5! ,movie,0,0,1,5,6,0
„Harry Potter“: So sieht „Hagrid“-Darsteller Robbie Coltrane heute aus,promi,0,1,0,6,9,0
Rosenkrieg nach Ehe-Aus? Das sagt Michael Wendler zur Scheidung von Claudia ,webde,1,0,0,5,11,0
Erstmals wählt Costa Rica eine Frau in das höchste Staatsamt,wiki,0,0,0,5,10,1
Woher kennt man eigentlich...? Quiz,promi,1,1,0,5,5,0
Libyen: Zwei Foto-Journalisten sterben im umkämpften Misrata,wiki,0,0,0,7,7,1
Bares für Rares: Horst Lichters TV-Aus trotz Top-Quoten? ,movie,1,0,0,5,8,0
Dschungelcamp 2017: Wer fliegt heute?,promi,1,0,0,6,4,0
Prinzessin Victoria & Prinz Daniel feiern heute ihren 7. Hochzeitstag,promi,0,0,1,7,8,0
„ZDF-Fernsehgarten“-Moderatorin Andrea Kiewel: So krass anders sah sie früher aus,promi,0,1,0,6,10,0
Kommunikationssatellit „Xinnuo 2“ soll im Oktober starten,wiki,0,0,1,7,7,1
Doppelgrab aus der Steinzeit entdeckt,wiki,0,0,0,6,5,1
Dioxin in irischem Schweinefleisch,wiki,0,0,0,7,4,1
"""Final Fantasy 7"" Remake: Release-Termin offiziell angekündigt! ",movie,0,0,1,8,6,0
Kinderstars der Achtziger: So sehen sie heute aus - Teil 1,promi,0,1,1,5,9,0
Die Rote Liste umfasst Ende 2007 insgesamt 16.306 Arten,wiki,0,0,0,5,7,1
BibisBeautyPalace schwanger: So viel wiegt ihr Baby jetzt schon,bravo,0,1,0,6,9,0
Besucherrekord im Paderborner Heinz-Nixdorf-Museum,wiki,0,0,0,11,4,1
Schweres Seebeben vor Samoa-Inseln,wiki,0,0,0,7,4,1
UP Aerospace absolviert erfolgreich fünften Flug,wiki,0,0,0,7,6,1
Wird diese „Bachelor“-Kandidatin die neue „Bachelorette“? ,promi,1,1,0,8,6,0
Riverdale: So geht es ohne Luke Perry weiter,bravo,0,1,0,4,8,0
In Jena fand der „5. Jenaer Holzmarkt“ statt,wiki,0,0,1,4,8,1
Feierliche Eröffnung der olympischen Dörfer in Italien,wiki,0,0,0,6,7,1
Bibis Beauty Palace: Das erste Baby von ihr ist schon 3,bravo,0,0,1,4,10,0
Spannung bei den Historikern: Was geschah mit der „Graf Zeppelin“?,wiki,1,0,0,5,10,1
André Silva Freundin: Ist der Portugalspieler vergeben? ,promi,1,0,0,6,7,0
@aurorasheart: Terminplaner selbst gestalten - so geht's! ,bravo,0,1,0,7,6,0
4.000 Elektroautos für Frankreichs Hauptstadt,wiki,0,0,1,9,4,1
So krass lebt dieser YouTuber ,bravo,0,1,0,5,5,0
Altbundespräsident Kurt Waldheim in Wiener Krankenhaus,wiki,0,0,0,8,6,1
Sicherheitskontrollen an Flughäfen auch auf Piloten und Stewardessen ausgeweitet,wiki,0,0,0,8,9,1
Wasserflugzeug vor der Küste von Miami Beach explodiert,wiki,0,0,0,6,8,1
TEFAF 2019: Mastricht glänzt mit internationaler Kunstmesse,wiki,0,0,0,8,6,1
Mehmet Ali Ağca wurde aus dem Gefängnis entlassen,wiki,0,0,0,5,8,1
Schlimmste Anschlagserie dieses Jahres in Bagdad: über 160 Tote,wiki,0,0,0,6,8,1
Todesstrafe auch für ehemaligen irakischen Vizepräsidenten,wiki,0,0,0,8,6,1
Die besten Promi-Reaktionen auf Prinz Harrys und Meghan Markles Verlobung,promi,0,1,0,6,10,0
Helene Fischer: Darum musste ihre Familie Russland verlassen,promi,0,1,0,6,8,0
Bald ist Schulanfang: So geht es mit George und Charlotte weiter,promi,0,1,0,4,11,0
„Rohtenburg“: Einstweilige Verfügung bestätigt,wiki,0,0,0,10,4,1
Kunstmesse HANSEART in Bremen eröffnet,wiki,0,0,0,6,5,1
Schweres Erdbeben in China,wiki,0,0,0,5,4,1
